A1,B1,R1,A2,B2,R2
-0.083451,0.072904,0.87125,-0.11563,0.11495,0.79623
-0.1669,0.14581,0.87125,-0.23126,0.2299,0.79623
-0.25035,0.21871,0.87125,-0.34688,0.34485,0.79623
-0.3338,0.29161,0.87125,-0.46251,0.4598,0.79623
-0.41726,0.36452,0.87125,-0.57813,0.57475,0.79623
-0.62588,0.54678,0.87125,-0.8672,0.86212,0.79623
-0.83451,0.72904,0.87125,-1.1563,1.1495,0.79623
-1.669,1.4581,0.87125,-2.3126,2.299,0.79623
-2.5043,2.1874,0.87123,-3.4695,3.4489,0.79619
-4.9373,3.95,0.85253,-6.528,6.1577,0.77032
-0.064845,0.063108,0.89874,-0.094747,0.10045,0.82915
-0.12968,0.12622,0.89869,-0.18949,0.20091,0.82912
-0.19452,0.18933,0.89869,-0.28424,0.30136,0.82912
-0.25938,0.25243,0.89874,-0.37898,0.4018,0.82915
-0.32423,0.31554,0.89874,-0.47374,0.50225,0.82915
-0.48634,0.47331,0.89874,-0.7106,0.75337,0.82915
-0.64845,0.63108,0.89874,-0.94747,1.0045,0.82915
-1.2969,1.2622,0.89874,-1.895,2.009,0.82915
-1.9343,1.8911,0.89793,-2.8307,3.0103,0.82845
-3.4872,3.2521,0.89146,-4.9725,5.1508,0.81836
-0.05357,0.056897,0.92099,-0.081716,0.091111,0.85481
-0.10738,0.114,0.91984,-0.16396,0.18264,0.85415
-0.16107,0.171,0.91984,-0.24594,0.27396,0.85415
-0.21427,0.22759,0.92099,-0.32686,0.36444,0.85481
-0.26784,0.28448,0.92099,-0.40857,0.45555,0.85481
-0.40177,0.42672,0.92099,-0.61286,0.68333,0.85481
-0.5357,0.56897,0.92099,-0.81716,0.91111,0.85481
-1.0738,1.14,0.91984,-1.6396,1.8264,0.85415
-1.6107,1.71,0.91984,-2.4594,2.7396,0.85415
-2.7568,2.8784,0.91746,-4.1674,4.6032,0.8504
-0.03781,0.048993,0.95166,-0.06345,0.079101,0.89056
-0.07307,0.096981,0.95523,-0.12445,0.15687,0.89557
-0.11692,0.1485,0.94794,-0.1944,0.23964,0.88668
-0.16268,0.20057,0.94337,-0.26525,0.32272,0.87979
-0.18905,0.24497,0.95166,-0.31725,0.39551,0.89057
-0.28358,0.36745,0.95166,-0.47587,0.59326,0.89057
-0.38197,0.49159,0.95074,-0.63891,0.79354,0.88954
-0.75621,0.97986,0.95166,-1.269,1.582,0.89057
-1.1842,1.4898,0.94755,-1.9534,2.4006,0.88494
-2.2398,2.5978,0.93723,-3.5534,4.1731,0.87263
-0.0081306,0.036197,0.99995,-0.033228,0.061279,0.98119
-0.016262,0.072394,0.99995,-0.066458,0.12256,0.98119
-0.024393,0.10859,0.99995,-0.099687,0.18384,0.98119
-0.032524,0.14479,0.99995,-0.13292,0.24512,0.98119
-0.040655,0.18098,0.99995,-0.16615,0.3064,0.98119
-0.060983,0.27148,0.99995,-0.24922,0.4596,0.98119
-0.081306,0.36197,0.99995,-0.33228,0.61279,0.98119
-0.16262,0.72394,0.99995,-0.66458,1.2256,0.98119
-0.24393,1.0859,0.99995,-0.99687,1.8384,0.98119
-0.40654,1.8098,0.99995,-1.6614,3.064,0.98119
-0.0077126,0.034438,0.99995,-0.03159,0.058302,0.98119
-0.015428,0.068878,0.99995,-0.063183,0.1166,0.98118
-0.023139,0.10332,0.99995,-0.094773,0.17491,0.98119
-0.030855,0.13776,0.99995,-0.12637,0.23321,0.98119
-0.038565,0.17219,0.99995,-0.15795,0.29151,0.98119
-0.057849,0.25829,0.99995,-0.23693,0.43727,0.98119
-0.077126,0.34438,0.99995,-0.3159,0.58302,0.98119
-0.15428,0.68878,0.99995,-0.63183,1.166,0.98118
-0.23139,1.0332,0.99995,-0.94773,1.7491,0.98119
-0.38565,1.7219,0.99995,-1.5795,2.9151,0.98119
-0.0074656,0.033068,0.99995,-0.030384,0.055978,0.98111
-0.01493,0.066136,0.99995,-0.060766,0.11195,0.98111
-0.022396,0.099204,0.99995,-0.09115,0.16793,0.98111
