A,W,k,ER,ER1,ER2,T,T',MT,DT
500,10,0.01,0.075,0.90474,0.082897,0.11967,0.11479,0.23446,0.020814
500,10,0.1,0.075,0.90474,0.082897,1.1967,1.1479,2.3446,0.020814
500,10,0.3,0.075,0.90474,0.082897,3.5902,3.4437,7.0339,0.020828
500,10,0.075,0.075,0.90474,0.082897,0.89756,0.86093,1.7585,0.02083
500,10,0.05,0.075,0.90474,0.082897,0.59837,0.57395,1.1723,0.020831
500,10,0.5,0.075,0.90474,0.082897,5.9837,5.7395,11.723,0.020831
500,10,0.02,0.075,0.90474,0.082897,0.23935,0.22958,0.46893,0.020835
500,10,0.04,0.075,0.90474,0.082897,0.4787,0.45916,0.93786,0.020835
500,10,0.2,0.075,0.90474,0.082897,2.3935,2.2958,4.6893,0.020835
500,10,0.03,0.075,0.90474,0.082897,0.35903,0.34437,0.70339,0.020842
500,10,0.1,0.1,0.90844,0.11008,1.15,1.1013,2.2513,0.021632
500,10,0.01,0.1,0.90844,0.11008,0.115,0.11013,0.22513,0.021632
500,10,0.3,0.1,0.90844,0.11008,3.4501,3.3038,6.7539,0.021662
500,10,0.5,0.1,0.90844,0.11008,5.7502,5.5063,11.256,0.021668
500,10,0.05,0.1,0.90844,0.11008,0.57502,0.55063,1.1256,0.021668
500,10,0.075,0.1,0.90844,0.11008,0.86253,0.82594,1.6885,0.02167
500,10,0.02,0.1,0.90844,0.11008,0.23001,0.22025,0.45026,0.021676
500,10,0.03,0.1,0.90844,0.11008,0.34501,0.33037,0.67539,0.021676
500,10,0.04,0.1,0.90844,0.11008,0.46002,0.4405,0.90052,0.021676
500,10,0.2,0.1,0.90844,0.11008,2.3001,2.2025,4.5026,0.021676
500,10,0.04,0.25,0.92344,0.27073,0.38443,0.36407,0.7485,0.027201
500,10,0.3,0.25,0.92344,0.27073,2.8832,2.7305,5.6137,0.027201
500,10,0.03,0.25,0.92344,0.27073,0.28832,0.27305,0.56137,0.027201
500,10,0.5,0.25,0.92343,0.27073,4.8054,4.5508,9.3562,0.027212
500,10,0.05,0.25,0.92344,0.27073,0.48054,0.45508,0.93562,0.027212
500,10,0.075,0.25,0.92343,0.27073,0.72081,0.68262,1.4034,0.027212
500,10,0.01,0.25,0.92343,0.27073,0.096108,0.091016,0.18712,0.027212
500,10,0.1,0.25,0.92343,0.27073,0.96108,0.91016,1.8712,0.027212
500,10,0.2,0.25,0.92343,0.27073,1.9222,1.8203,3.7425,0.027228
500,10,0.02,0.25,0.92344,0.27073,0.19222,0.18203,0.37425,0.027228
500,10,0.03,0.5,0.94136,0.53115,0.22068,0.20324,0.42391,0.041141
500,10,0.3,0.5,0.94136,0.53115,2.2068,2.0324,4.2391,0.041141
500,10,0.5,0.5,0.94136,0.53115,3.678,3.3873,7.0652,0.041145
500,10,0.05,0.5,0.94136,0.53115,0.3678,0.33873,0.70652,0.041145
500,10,0.1,0.5,0.94136,0.53115,0.73559,0.67745,1.413,0.041146
500,10,0.075,0.5,0.94136,0.53115,0.5517,0.50809,1.0598,0.041149
500,10,0.02,0.5,0.94136,0.53115,0.14712,0.13549,0.28261,0.041152
500,10,0.04,0.5,0.94136,0.53115,0.29424,0.27098,0.56522,0.041152
500,10,0.2,0.5,0.94136,0.53115,1.4712,1.3549,2.8261,0.041152
500,10,0.01,0.5,0.94136,0.53115,0.07356,0.067745,0.1413,0.041154
500,10,0.5,0.04,0.84148,0.047535,10,11.014,21.014,0.048254
500,10,0.3,0.01,0.73888,0.013534,10,8.416,18.416,0.086012
500,10,0.075,0.05,0.89293,0.055995,1.0094,0.84203,1.8515,0.090397
500,10,0.01,0.05,0.89293,0.055995,0.13459,0.11227,0.24686,0.090416
500,10,0.02,0.05,0.89293,0.055995,0.26918,0.22454,0.49372,0.090416
500,10,0.1,0.05,0.89293,0.055995,1.3459,1.1227,2.4686,0.090416
500,10,0.2,0.05,0.89293,0.055995,2.6918,2.2454,4.9372,0.090416
500,10,0.5,0.05,0.89293,0.055995,6.7296,5.6135,12.343,0.090424
500,10,0.05,0.05,0.89293,0.055995,0.67296,0.56135,1.2343,0.090424
500,10,0.04,0.05,0.89293,0.055995,0.53837,0.44908,0.98745,0.090425
500,10,0.03,0.05,0.89293,0.055995,0.40378,0.33681,0.74059,0.090428
500,10,0.3,0.05,0.89293,0.055995,4.0378,3.3681,7.4059,0.090428
500,10,0.2,0.04,0.81915,0.048831,4.5728,3.7521,8.3248,0.098585
500,10,0.02,0.04,0.81915,0.048831,0.45728,0.37521,0.83248,0.098585
500,10,0.05,0.04,0.81915,0.048831,1.1432,0.93802,2.0812,0.098587
500,10,0.04,0.04,0.81915,0.048831,0.91456,0.75041,1.665,0.098589
500,10,0.03,0.04,0.81915,0.048831,0.68592,0.56281,1.2487,0.098591
500,10,0.3,0.04,0.81915,0.048831,6.8592,5.6281,12.487,0.098591
500,10,0.075,0.04,0.81915,0.048831,1.7148,1.407,3.1218,0.098597
500,10,0.1,0.04,0.81915,0.048831,2.2864,1.876,4.1624,0.098597
500,10,0.01,0.04,0.81915,0.048831,0.22864,0.1876,0.41624,0.098597
500,10,0.04,0.03,0.79982,0.037509,1.0143,0.81807,1.8324,0.10709
500,10,0.05,0.03,0.79982,0.037509,1.2679,1.0226,2.2905,0.10709
500,10,0.02,0.03,0.79982,0.037509,0.50717,0.40904,0.91621,0.1071
500,10,0.2,0.03,0.79982,0.037509,5.0717,4.0904,9.1621,0.1071
500,10,0.075,0.03,0.79982,0.037509,1.9019,1.5339,3.4358,0.10711
500,10,0.01,0.03,0.79982,0.037509,0.25359,0.20452,0.4581,0.10712
500,10,0.3,0.03,0.79982,0.037509,7.6076,6.1355,13.743,0.10712
500,10,0.03,0.03,0.79982,0.037509,0.76076,0.61355,1.3743,0.10712
500,10,0.1,0.03,0.79982,0.037509,2.5359,2.0452,4.581,0.10712
500,10,0.03,0.02,0.77251,0.02589,0.86727,0.6852,1.5525,0.11728
500,10,0.2,0.02,0.77251,0.02589,5.7818,4.568,10.35,0.11728
500,10,0.3,0.02,0.77251,0.02589,8.6727,6.852,15.525,0.11728
500,10,0.02,0.02,0.77251,0.02589,0.57818,0.4568,1.035,0.11728
500,10,0.1,0.02,0.77251,0.02589,2.8909,2.284,5.1749,0.11728
500,10,0.01,0.02,0.77251,0.02589,0.28909,0.2284,0.51749,0.11728
500,10,0.075,0.02,0.77251,0.02589,2.1682,1.713,3.8812,0.11728
500,10,0.05,0.02,0.77251,0.02589,1.4455,1.142,2.5875,0.11729
500,10,0.04,0.02,0.77251,0.02589,1.1564,0.9136,2.07,0.11729
500,10,0.01,0.01,0.72963,0.013706,0.34562,0.26781,0.61343,0.12684
500,10,0.1,0.01,0.72963,0.013706,3.4562,2.6781,6.1343,0.12684
500,10,0.2,0.01,0.72963,0.013706,6.9125,5.3562,12.269,0.12685
500,10,0.02,0.01,0.72963,0.013706,0.69125,0.53562,1.2269,0.12685
500,10,0.075,0.01,0.72963,0.013706,2.5922,2.0086,4.6007,0.12685
500,10,0.05,0.01,0.72963,0.013706,1.7281,1.339,3.0672,0.12686
500,10,0.03,0.01,0.72963,0.013706,1.0369,0.80343,1.8403,0.12687
500,10,0.04,0.01,0.72963,0.013706,1.3825,1.0712,2.4537,0.12687
500,10,0.5,0.03,0.84148,0.035651,10,13.607,23.607,0.15279
500,10,0.5,0.02,0.84148,0.023768,10,17.798,27.798,0.28052
500,10,0.5,0.01,0.84148,0.011884,10,25.721,35.721,0.44011
500,15,0.1,0.01,0.85955,0.011634,1.1796,1.1197,2.2993,0.026051
500,15,0.2,0.01,0.85955,0.011634,2.3592,2.2393,4.5985,0.026074
500,15,0.02,0.01,0.85955,0.011634,0.23592,0.22393,0.45985,0.026074
500,15,0.5,0.01,0.85955,0.011634,5.8981,5.5982,11.496,0.026087
500,15,0.075,0.01,0.85955,0.011634,0.88472,0.83973,1.7245,0.026089
500,15,0.01,0.01,0.85955,0.011634,0.11796,0.11196,0.22993,0.026095
500,15,0.04,0.01,0.85955,0.011634,0.47185,0.44785,0.91971,0.026095
500,15,0.03,0.01,0.85955,0.011634,0.35389,0.33589,0.68978,0.026095
